深度,x,y,方位角,倾角,开度,裂缝
4576.617343,418103.977,4253340.8,255.4297,20.36592,0.003283831,Conductive fracture
4588.768562,418103.977,4253340.8,295.8518,49.67039,0.003289053,Conductive fracture
4635.668448,418103.977,4253340.8,202.1776,13.54273,0.003297284,Conductive fracture
4497.417118,418103.977,4253340.8,253.4864,55.46512,0.003297518,Conductive fracture
4630.005491,418103.977,4253340.8,74.2526,26.32518,0.003298281,Conductive fracture
4682.096381,418103.977,4253340.8,261.7405,38.62812,0.003314104,Conductive fracture
4495.964997,418103.977,4253340.8,261.162,56.44869,0.003330692,Conductive fracture
4641.108762,418103.977,4253340.8,131.1136,43.23616,0.003350711,Conductive fracture
4460.706287,418103.977,4253340.8,264.8934,55.5701,0.003352731,Conductive fracture
4494.280077,418103.977,4253340.8,185.4095,51.12215,0.003354275,Conductive fracture
4598.218429,418103.977,4253340.8,240.0425,59.27402,0.003382415,Conductive fracture
4636.052585,418103.977,4253340.8,70.50685,37.58996,0.003430461,Conductive fracture
4628.687963,418103.977,4253340.8,69.211,43.52592,0.003440467,Conductive fracture
4513.042789,418103.977,4253340.8,240.2283,60.43556,0.00347112,Conductive fracture
4466.92802,418103.977,4253340.8,62.13128,62.28021,0.003490677,Conductive fracture
4636.096725,418103.977,4253340.8,69.33718,36.88657,0.003491682,Conductive fracture
4669.414294,418103.977,4253340.8,354.915,54.63223,0.003493674,Conductive fracture
4716.373895,418103.977,4253340.8,348.0311,18.67082,0.003523553,Conductive fracture
4471.111817,418103.977,4253340.8,231.6127,41.05264,0.003525052,Conductive fracture
4741.445483,418103.977,4253340.8,53.65661,41.69306,0.003534722,Conductive fracture
4689.640467,418103.977,4253340.8,323.4833,53.58903,0.003545492,Conductive fracture
4535.123332,418103.977,4253340.8,29.10257,45.47725,0.003549619,Conductive fracture
4458.826906,418103.977,4253340.8,105.5704,55.93295,0.003551242,Conductive fracture
4525.619519,418103.977,4253340.8,298.3402,40.58327,0.003573597,Conductive fracture
4466.028412,418103.977,4253340.8,213.5946,39.26435,0.003576472,Conductive fracture
4579.527521,418103.977,4253340.8,258.5847,23.31777,0.003580282,Conductive fracture
4538.69674,418103.977,4253340.8,62.84074,68.97607,0.00360248,Conductive fracture
4486.888039,418103.977,4253340.8,273.5058,22.156,0.003635577,Conductive fracture
4433.724673,418103.977,4253340.8,145.0005,36.71833,0.003636379,Conductive fracture
4499.014213,418103.977,4253340.8,37.07895,29.23787,0.003648905,Conductive fracture
4693.930958,418103.977,4253340.8,303.5432,46.95344,0.003661265,Conductive fracture
4628.237467,418103.977,4253340.8,174.6931,66.33957,0.003676536,Conductive fracture
4534.187117,418103.977,4253340.8,157.1284,65.0533,0.003699299,Conductive fracture
4558.286686,418103.977,4253340.8,162.6174,49.30143,0.003711906,Conductive fracture
4498.899935,418103.977,4253340.8,337.9193,17.3313,0.003735728,Conductive fracture
4486.360237,418103.977,4253340.8,233.799,70.892,0.003742689,Conductive fracture
4627.927704,418103.977,4253340.8,44.44458,59.68442,0.003746745,Conductive fracture
4476.132405,418103.977,4253340.8,55.30103,54.04491,0.003746884,Conductive fracture
4738.931986,418103.977,4253340.8,329.3735,33.50726,0.003761457,Conductive fracture
4631.010019,418103.977,4253340.8,72.69248,40.7626,0.003764362,Conductive fracture
4505.671919,418103.977,4253340.8,281.8621,61.56741,0.003768702,Conductive fracture
4513.720683,418103.977,4253340.8,241.2576,53.87112,0.003770075,Conductive fracture
4716.770212,418103.977,4253340.8,228.0641,31.81805,0.003792816,Conductive fracture
4465.138907,418103.977,4253340.8,238.2257,40.22719,0.003796516,Conductive fracture
4526.489918,418103.977,4253340.8,299.2401,33.81434,0.003818433,Conductive fracture
4677.284977,418103.977,4253340.8,169.5808,31.83948,0.003829923,Conductive fracture
4764.091816,418103.977,4253340.8,148.6798,48.39307,0.00383469,Conductive fracture
4699.501974,418103.977,4253340.8,266.0919,38.52908,0.003871681,Conductive fracture
4716.113989,418103.977,4253340.8,343.6941,26.59175,0.003894909,Conductive fracture
4759.034337,418103.977,4253340.8,83.82858,42.94562,0.003910215,Conductive fracture
4568.303273,418103.977,4253340.8,38.50486,12.10607,0.003925182,Conductive fracture
4600.989899,418103.977,4253340.8,341.5208,45.44818,0.003927479,Conductive fracture
4695.008595,418103.977,4253340.8,258.214,53.88229,0.00394666,Conductive fracture
4646.327187,418103.977,4253340.8,63.3021,62.19967,0.003947588,Conductive fracture
4499.823406,418103.977,4253340.8,332.5685,29.02634,0.003948522,Conductive fracture
4597.047119,418103.977,4253340.8,163.8199,31.66525,0.00394897,Conductive fracture
4673.418723,418103.977,4253340.8,28.11903,44.75136,0.003950106,Conductive fracture
4679.214042,418103.977,4253340.8,53.91997,46.22115,0.003950172,Conductive fracture
4695.188464,418103.977,4253340.8,304.6908,54.0134,0.003955258,Conductive fracture
4513.373146,418103.977,4253340.8,244.9642,54.51144,0.003957993,Conductive fracture
4628.005737,418103.977,4253340.8,80.85569,61.21529,0.003960019,Conductive fracture
4700.948565,418103.977,4253340.8,13.90145,38.38971,0.003960787,Conductive fracture
4738.962914,418103.977,4253340.8,321.6404,61.38219,0.00398921,Conductive fracture
4635.595693,418103.977,4253340.8,169.4501,23.37982,0.003989834,Conductive fracture
4531.900935,418103.977,4253340.8,293.9662,36.56629,0.003999117,Conductive fracture
4514.483613,418103.977,4253340.8,316.5913,50.42636,0.004013313,Conductive fracture
4531.400553,418103.977,4253340.8,175.7028,49.03575,0.004025688,Conductive fracture
4502.058907,418103.977,4253340.8,260.6978,25.48496,0.004026478,Conductive fracture
4538.846832,418103.977,4253340.8,253.5358,32.16382,0.004028129,Conductive fracture
4682.917705,418103.977,4253340.8,256.5598,38.40192,0.004030308,Conductive fracture
4591.8721,418103.977,4253340.8,281.295,48.49168,0.004040913,Conductive fracture
4586.941123,418103.977,4253340.8,239.3445,50.41183,0.004051787,Conductive fracture
4498.075855,418103.977,4253340.8,269.9146,48.16248,0.004051932,Conductive fracture
4469.998312,418103.977,4253340.8,179.276,43.17049,0.004065497,Conductive fracture
4764.484548,418103.977,4253340.8,124.6116,47.14058,0.004071068,Conductive fracture
4516.815887,418103.977,4253340.8,253.2369,50.81632,0.004074454,Conductive fracture
4624.25082,418103.977,4253340.8,74.29466,45.59435,0.004074933,Conductive fracture
4600.788715,418103.977,4253340.8,146.0049,48.96775,0.004080535,Conductive fracture
4496.019106,418103.977,4253340.8,261.4557,56.08723,0.004123786,Conductive fracture
4630.152594,418103.977,4253340.8,279.5032,62.33269,0.004125933,Conductive fracture
4741.192643,418103.977,4253340.8,54.23479,34.22092,0.004147532,Conductive fracture
4447.084813,418103.977,4253340.8,251.532,54.14027,0.004169614,Conductive fracture
4764.477715,418103.977,4253340.8,133.803,28.24771,0.004192506,Conductive fracture
4586.49682,418103.977,4253340.8,171.8342,56.98611,0.004196514,Conductive fracture
4513.548587,418103.977,4253340.8,240.7899,51.16479,0.004199437,Conductive fracture
4764.068709,418103.977,4253340.8,96.3792,42.95332,0.004205159,Conductive fracture
4584.066777,418103.977,4253340.8,111.144,42.87688,0.004207774,Conductive fracture
4465.86965,418103.977,4253340.8,237.7342,42.53582,0.004208223,Conductive fracture
4446.609064,418103.977,4253340.8,104.6993,42.78257,0.004208802,Conductive fracture
4593.47659,418103.977,4253340.8,302.578,44.42546,0.004208823,Conductive fracture
4596.462175,418103.977,4253340.8,173.7313,35.33572,0.004212363,Conductive fracture
4459.934583,418103.977,4253340.8,273.9855,58.50224,0.004220041,Conductive fracture
4433.845179,418103.977,4253340.8,317.4612,29.17916,0.004220378,Conductive fracture
4699.583735,418103.977,4253340.8,275.6334,41.51551,0.004255129,Conductive fracture
4697.162523,418103.977,4253340.8,330.2014,48.38356,0.004259275,Conductive fracture
4678.995139,418103.977,4253340.8,106.2738,50.23087,0.004269729,Conductive fracture
4466.612084,418103.977,4253340.8,274.1719,45.87323,0.004301047,Conductive fracture
4694.919812,418103.977,4253340.8,294.6559,58.33516,0.004315538,Conductive fracture
4469.49772,418103.977,4253340.8,269.209,55.46994,0.004318395,Conductive fracture
4684.325859,418103.977,4253340.8,341.5195,31.63083,0.004336156,Conductive fracture
4509.71313,418103.977,4253340.8,264.3106,41.66278,0.004338249,Conductive fracture
4465.940657,418103.977,4253340.8,250.2559,54.0223,0.004390316,Conductive fracture
4526.595027,418103.977,4253340.8,77.96223,28.62799,0.004399331,Conductive fracture
4628.739711,418103.977,4253340.8,66.09912,43.98698,0.004411883,Conductive fracture
4629.638478,418103.977,4253340.8,73.3852,45.92621,0.004417521,Conductive fracture
4498.566445,418103.977,4253340.8,256.4727,56.10258,0.004435807,Conductive fracture
4624.664288,418103.977,4253340.8,81.53884,40.38988,0.0044394,Conductive fracture
4474.122439,418103.977,4253340.8,284.751,34.02607,0.004439899,Conductive fracture
4598.055112,418103.977,4253340.8,349.7156,37.05962,0.004453116,Conductive fracture
4465.977196,418103.977,4253340.8,254.9738,45.98531,0.004461594,Conductive fracture
4716.243089,418103.977,4253340.8,188.9212,22.91373,0.004475875,Conductive fracture
4630.961384,418103.977,4253340.8,30.66284,16.65634,0.004484534,Conductive fracture
4670.297102,418103.977,4253340.8,19.49907,39.8764,0.004495948,Conductive fracture
4600.237927,418103.977,4253340.8,173.721,40.3209,0.004498526,Conductive fracture
4466.852881,418103.977,4253340.8,251.9313,37.00809,0.004505046,Conductive fracture
4464.806457,418103.977,4253340.8,119.2649,67.02753,0.00451423,Conductive fracture
4522.157248,418103.977,4253340.8,320.3642,28.54454,0.004520177,Conductive fracture
4687.059315,418103.977,4253340.8,346.6969,44.35802,0.004520407,Conductive fracture
4465.1616,418103.977,4253340.8,242.7696,49.11751,0.004522148,Conductive fracture
4459.191406,418103.977,4253340.8,237.236,62.31005,0.004530113,Conductive fracture
4665.95102,418103.977,4253340.8,348.2695,52.80738,0.004534313,Conductive fracture
4466.355715,418103.977,4253340.8,241.0322,48.60921,0.004539557,Conductive fracture
4671.667722,418103.977,4253340.8,53.24911,38.39234,0.00455381,Conductive fracture
4552.801719,418103.977,4253340.8,129.8443,71.25961,0.004573592,Conductive fracture
4633.948493,418103.977,4253340.8,33.0844,61.42999,0.004576891,Conductive fracture
4529.011814,418103.977,4253340.8,89.28706,46.20682,0.004635585,Conductive fracture
4693.972885,418103.977,4253340.8,241.4496,13.18603,0.004648638,Conductive fracture
4649.410825,418103.977,4253340.8,220.5488,34.23283,0.004649814,Conductive fracture
4468.203622,418103.977,4253340.8,257.3506,37.82011,0.004654058,Conductive fracture
4522.263094,418103.977,4253340.8,321.4221,25.53798,0.004654329,Conductive fracture
4600.175645,418103.977,4253340.8,72.02813,61.82737,0.004663034,Conductive fracture
4683.532073,418103.977,4253340.8,54.76394,60.10557,0.004674372,Conductive fracture
4626.200209,418103.977,4253340.8,298.8623,50.16421,0.004676335,Conductive fracture
4522.377525,418103.977,4253340.8,311.3428,29.09888,0.004684458,Conductive fracture
4629.694501,418103.977,4253340.8,75.63223,42.12323,0.004689257,Conductive fracture
4589.378735,418103.977,4253340.8,318.1255,57.23628,0.004689472,Conductive fracture
4669.701581,418103.977,4253340.8,4.408769,59.02945,0.004694666,Conductive fracture
4527.866496,418103.977,4253340.8,113.3218,35.37729,0.004700808,Conductive fracture
4493.184914,418103.977,4253340.8,283.0292,19.13641,0.004711354,Conductive fracture
4695.301744,418103.977,4253340.8,313.8017,48.08289,0.004712607,Conductive fracture
4727.543491,418103.977,4253340.8,328.2737,30.07477,0.004722843,Conductive fracture
4697.209328,418103.977,4253340.8,346.7339,42.09258,0.004723087,Conductive fracture
4538.621957,418103.977,4253340.8,297.808,33.58578,0.004727765,Conductive fracture
4687.164385,418103.977,4253340.8,312.9618,34.89323,0.004730777,Conductive fracture
4628.594455,418103.977,4253340.8,213.4473,66.01662,0.004733496,Conductive fracture
4691.355843,418103.977,4253340.8,286.3892,34.91696,0.004738292,Conductive fracture
4495.870458,418103.977,4253340.8,254.9634,56.2407,0.004741908,Conductive fracture
4542.435013,418103.977,4253340.8,291.8135,52.80361,0.004745141,Conductive fracture
4487.053225,418103.977,4253340.8,56.91944,59.42761,0.004745318,Conductive fracture
4495.663272,418103.977,4253340.8,148.1295,53.39646,0.004745647,Conductive fracture
4602.054886,418103.977,4253340.8,257.8728,61.44349,0.004746506,Conductive fracture
4522.330976,418103.977,4253340.8,308.6371,24.16199,0.004747605,Conductive fracture
4465.060475,418103.977,4253340.8,168.5365,49.33754,0.004778218,Conductive fracture
4475.195834,418103.977,4253340.8,333.8477,36.87157,0.004794582,Conductive fracture
4742.03172,418103.977,4253340.8,70.36557,42.49512,0.004805127,Conductive fracture
4759.852135,418103.977,4253340.8,45.45943,30.14503,0.004822414,Conductive fracture
4598.003263,418103.977,4253340.8,354.4049,38.25497,0.004829841,Conductive fracture
4518.388837,418103.977,4253340.8,257.9153,33.18319,0.004830782,Conductive fracture
4471.842732,418103.977,4253340.8,244.6547,36.05407,0.004833965,Conductive fracture
4741.571891,418103.977,4253340.8,208.5635,37.3243,0.004846295,Conductive fracture
4614.61456,418103.977,4253340.8,338.2275,13.415,0.004846336,Conductive fracture
4475.8952,418103.977,4253340.8,245.0724,41.7631,0.00485089,Conductive fracture
4678.354943,418103.977,4253340.8,314.3197,41.20957,0.004851578,Conductive fracture
4463.788556,418103.977,4253340.8,42.31921,65.58909,0.004857553,Conductive fracture
4465.795591,418103.977,4253340.8,248.0344,49.19037,0.004871394,Conductive fracture
4635.933665,418103.977,4253340.8,66.2104,37.41128,0.004882318,Conductive fracture
4509.094567,418103.977,4253340.8,250.7375,63.19483,0.004885677,Conductive fracture
