DEPTH            CAL           CNCF             DT             GR          MLR1C          MLR2C          MLR3C          MLR4C             PE           PHIT             RD           RMLL             RS          SPWDH           ZDEN 
       4436.90      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.3860      -999.2500
       4437.00      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4670      -999.2500
       4437.10      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.5140      -999.2500
       4437.20      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.5370      -999.2500
       4437.30      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.5210      -999.2500
       4437.40      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4380      -999.2500
       4437.50      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.2680      -999.2500
       4437.60      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0300      -999.2500
       4437.70      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.8180      -999.2500
       4437.80      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7000      -999.2500
       4437.90      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.6940      -999.2500
       4438.00      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7600      -999.2500
       4438.10      -999.2500    -999.250000      -999.2500        59.7990      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.8530      -999.2500
       4438.20      -999.2500    -999.250000      -999.2500        55.1110      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.9670      -999.2500
       4438.30      -999.2500    -999.250000      -999.2500        55.6120      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.1170      -999.2500
       4438.40      -999.2500    -999.250000      -999.2500        60.9380      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.2860      -999.2500
       4438.50      -999.2500    -999.250000      -999.2500        70.0080      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4360      -999.2500
       4438.60      -999.2500    -999.250000      -999.2500        80.8030      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.5040      -999.2500
       4438.70      -999.2500    -999.250000      -999.2500        90.8130      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4910      -999.2500
       4438.80      -999.2500    -999.250000      -999.2500        98.4340      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4240      -999.2500
       4438.90      -999.2500    -999.250000      -999.2500       102.2820      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.3250      -999.2500
       4439.00      -999.2500    -999.250000      -999.2500       103.5550      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.2330      -999.2500
       4439.10      -999.2500    -999.250000      -999.2500       103.5200      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.1890      -999.2500
       4439.20      -999.2500    -999.250000      -999.2500       103.1120      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.2440      -999.2500
       4439.30      -999.2500    -999.250000      -999.2500       102.7310      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.4240      -999.2500
       4439.40      -999.2500    -999.250000      -999.2500       101.7590      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.7320      -999.2500
       4439.50      -999.2500    -999.250000      -999.2500        99.4470      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        85.1480      -999.2500
       4439.60      -999.2500    -999.250000      -999.2500        96.3190      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        85.6210      -999.2500
       4439.70      -999.2500    -999.250000      -999.2500        93.6050      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.1000      -999.2500
       4439.80      -999.2500    -999.250000      -999.2500        92.6840      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.5350      -999.2500
       4439.90      -999.2500    -999.250000      -999.2500        94.3330      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.8670      -999.2500
       4440.00      -999.2500    -999.250000      -999.2500        97.1720      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.0890      -999.2500
       4440.10      -999.2500    -999.250000      -999.2500        99.5730      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.2190      -999.2500
       4440.20      -999.2500    -999.250000      -999.2500       100.1880      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.3070      -999.2500
       4440.30      -999.2500    -999.250000      -999.2500        99.6410      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.4130      -999.2500
       4440.40      -999.2500    -999.250000      -999.2500        99.3750      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.5300      -999.2500
       4440.50      -999.2500    -999.250000      -999.2500       101.2110      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.5880      -999.2500
       4440.60      -999.2500    -999.250000      -999.2500       104.7390      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.5270      -999.2500
       4440.70      -999.2500    -999.250000      -999.2500       108.7400      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.3430      -999.2500
       4440.80      -999.2500    -999.250000      -999.2500       112.0240      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        87.0820      -999.2500
       4440.90      -999.2500    -999.250000      -999.2500       114.2450      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.7960      -999.2500
       4441.00      -999.2500    -999.250000      -999.2500       116.0120      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.4800      -999.2500
       4441.10      -999.2500    -999.250000      -999.2500       117.9600      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        86.0980      -999.2500
       4441.20      -999.2500    -999.250000      -999.2500       119.6590      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        85.6250      -999.2500
       4441.30      -999.2500    -999.250000      -999.2500       120.2380      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        85.0470      -999.2500
       4441.40      -999.2500    -999.250000      -999.2500       118.9110      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.3530      -999.2500
       4441.50      -999.2500    -999.250000      -999.2500       115.3950      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.5380      -999.2500
       4441.60      -999.2500    -999.250000      -999.2500       110.6140      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.6320      -999.2500
       4441.70      -999.2500    -999.250000      -999.2500       105.1760      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.6690      -999.2500
       4441.80      -999.2500    -999.250000      -999.2500        98.8950      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.6970      -999.2500
       4441.90      -999.2500    -999.250000      -999.2500        91.3720      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.7670      -999.2500
       4442.00      -999.2500    -999.250000      -999.2500        82.5800      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        78.9270      -999.2500
       4442.10      -999.2500    -999.250000      -999.2500        74.4620      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        78.2650      -999.2500
       4442.20      -999.2500    -999.250000      -999.2500        70.4930      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        77.7920      -999.2500
       4442.30      -999.2500    -999.250000      -999.2500        72.9730      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        77.5140      -999.2500
       4442.40      -999.2500    -999.250000      -999.2500        81.9720      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        77.4630      -999.2500
       4442.50      -999.2500    -999.250000      -999.2500        92.7720      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        77.6240      -999.2500
       4442.60      -999.2500    -999.250000      -999.2500       100.4240      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        77.9650      -999.2500
       4442.70      -999.2500    -999.250000      -999.2500       102.3130      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        78.4430      -999.2500
       4442.80      -999.2500    -999.250000      -999.2500       100.6070      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.0040      -999.2500
       4442.90      -999.2500    -999.250000      -999.2500        99.5670      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.6110      -999.2500
       4443.00      -999.2500    -999.250000      -999.2500       102.2510      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.2550      -999.2500
       4443.10      -999.2500    -999.250000      -999.2500       109.2130      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.9000      -999.2500
       4443.20      -999.2500    -999.250000      -999.2500       117.4730      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.4980      -999.2500
       4443.30      -999.2500    -999.250000      -999.2500       124.6840      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.0050      -999.2500
       4443.40      -999.2500    -999.250000      -999.2500       129.2290      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.3670      -999.2500
       4443.50      -999.2500    -999.250000      -999.2500       131.1490      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.6200      -999.2500
       4443.60      -999.2500    -999.250000      -999.2500       130.6390      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.8070      -999.2500
       4443.70      -999.2500    -999.250000      -999.2500       128.0870      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.9860      -999.2500
       4443.80      -999.2500    -999.250000      -999.2500       124.6330      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.1960      -999.2500
       4443.90      -999.2500    -999.250000      -999.2500       121.4750      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.4160      -999.2500
       4444.00      -999.2500    -999.250000      -999.2500       119.7130      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.5900      -999.2500
       4444.10      -999.2500    -999.250000      -999.2500       119.0240      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.6880      -999.2500
       4444.20      -999.2500    -999.250000      -999.2500       118.6430      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7250      -999.2500
       4444.30      -999.2500    -999.250000      -999.2500       117.8550      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7300      -999.2500
       4444.40      -999.2500    -999.250000      -999.2500       116.3030      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7240      -999.2500
       4444.50      -999.2500    -999.250000      -999.2500       114.3890      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7130      -999.2500
       4444.60      -999.2500    -999.250000      -999.2500       112.5550      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7030      -999.2500
       4444.70      -999.2500    -999.250000      -999.2500       110.7970      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7230      -999.2500
       4444.80      -999.2500    -999.250000      -999.2500       108.7750      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.7920      -999.2500
       4444.90      -999.2500    -999.250000      -999.2500       105.7560      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.8960      -999.2500
       4445.00      -999.2500    -999.250000      -999.2500       100.7140      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.9990      -999.2500
       4445.10      -999.2500    -999.250000      -999.2500        94.3700      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0680      -999.2500
       4445.20      -999.2500    -999.250000      -999.2500        87.7190      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0990      -999.2500
       4445.30      -999.2500    -999.250000      -999.2500        82.3070      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.1010      -999.2500
       4445.40      -999.2500    -999.250000      -999.2500        79.3890      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0890      -999.2500
       4445.50      -999.2500    -999.250000      -999.2500        79.4680      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        84.0450      -999.2500
       4445.60      -999.2500    -999.250000      -999.2500        83.0200      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.9030      -999.2500
       4445.70      -999.2500    -999.250000      -999.2500        89.4900      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.6270      -999.2500
       4445.80      -999.2500    -999.250000      -999.2500        97.4970      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        83.2500      -999.2500
       4445.90      -999.2500    -999.250000      -999.2500       105.2490      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.8230      -999.2500
       4446.00      -999.2500    -999.250000      -999.2500       110.9260      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        82.3980      -999.2500
       4446.10      -999.2500    -999.250000      -999.2500       113.5930      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.9860      -999.2500
       4446.20      -999.2500    -999.250000      -999.2500       112.9170      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.5900      -999.2500
       4446.30      -999.2500    -999.250000      -999.2500       109.3150      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.2290      -999.2500
       4446.40      -999.2500    -999.250000      -999.2500       103.7920      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.9310      -999.2500
       4446.50      -999.2500    -999.250000      -999.2500        97.0190      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.7110      -999.2500
       4446.60      -999.2500    -999.250000      -999.2500        90.1540      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.5530      -999.2500
       4446.70      -999.2500    -999.250000      -999.2500        84.3730      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.4080      -999.2500
       4446.80      -999.2500    -999.250000      -999.2500        80.6900      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.2500      -999.2500
       4446.90      -999.2500    -999.250000      -999.2500        80.3330      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.0650      -999.2500
       4447.00      -999.2500    -999.250000      -999.2500        82.7240      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8760      -999.2500
       4447.10      -999.2500    -999.250000      -999.2500        87.0660      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.7190      -999.2500
       4447.20      -999.2500    -999.250000      -999.2500        92.5050      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.6430      -999.2500
       4447.30      -999.2500    -999.250000      -999.2500        97.8310      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.6580      -999.2500
       4447.40      -999.2500    -999.250000      -999.2500       102.4830      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.7410      -999.2500
       4447.50      -999.2500    -999.250000      -999.2500       106.2670      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8730      -999.2500
       4447.60      -999.2500    -999.250000      -999.2500       108.9460      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.0520      -999.2500
       4447.70      -999.2500    -999.250000      -999.2500       110.6090      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.2860      -999.2500
       4447.80      -999.2500    -999.250000      -999.2500       111.2480      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.5620      -999.2500
       4447.90      -999.2500    -999.250000      -999.2500       110.8820      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.8240      -999.2500
       4448.00      -999.2500    -999.250000      -999.2500       110.0290      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.0150      -999.2500
       4448.10      -999.2500    -999.250000      -999.2500       108.7960      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.1110      -999.2500
       4448.20      -999.2500    -999.250000      -999.2500       107.0330      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.1100      -999.2500
       4448.30      -999.2500    -999.250000      -999.2500       105.0930      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        81.0580      -999.2500
       4448.40      -999.2500    -999.250000      -999.2500       103.2950      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.9730      -999.2500
       4448.50      -999.2500    -999.250000      -999.2500       102.2650      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.8550      -999.2500
       4448.60      -999.2500    -999.250000      -999.2500       102.4640      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.7150      -999.2500
       4448.70      -999.2500    -999.250000      -999.2500       103.4870      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.5540      -999.2500
       4448.80      -999.2500    -999.250000      -999.2500       104.4720      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.3640      -999.2500
       4448.90      -999.2500    -999.250000      -999.2500       105.0020      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        80.1570      -999.2500
       4449.00      -999.2500    -999.250000      -999.2500       105.2170      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.9750      -999.2500
       4449.10      -999.2500    -999.250000      -999.2500       105.5270      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8640      -999.2500
       4449.20      -999.2500    -999.250000      -999.2500       106.2730      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8420      -999.2500
       4449.30      -999.2500    -999.250000      -999.2500       107.1910      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8740      -999.2500
       4449.40      -999.2500    -999.250000      -999.2500       107.9310      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.9100      -999.2500
       4449.50      -999.2500    -999.250000      -999.2500       108.6040      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8980      -999.2500
       4449.60      -999.2500    -999.250000      -999.2500       109.2870      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.8250      -999.2500
       4449.70      -999.2500    -999.250000      -999.2500       109.9420      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.6880      -999.2500
       4449.80      -999.2500    -999.250000      -999.2500       110.5710      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.4980      -999.2500
       4449.90      -999.2500    -999.250000      -999.2500       110.9290      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.3010      -999.2500
       4450.00      -999.2500    -999.250000      -999.2500       110.8300      -999.2500      -999.2500      -999.2500      -999.2500      -999.2500    -999.250000      -999.2500      -999.2500      -999.2500        79.1490      -999.2500
