DEPT          TVD         ROP5           GR         A34H         P16H         P28H         P34H      TAB_RES     TEMP_DNI 
       5039.80000   4370.16059      -999.25     93.34933     61.60144      0.22648      0.89091      7.76963      2.19794    131.33070
       5039.90000   4370.23045      -999.25     84.51456     75.96722      0.28654      0.79592      4.49748      2.20384    132.00000
       5040.00000   4370.30032      -999.25     75.90764     71.02007      0.39703      1.27122      5.83761      2.20702    132.00000
       5040.10000   4370.37019      -999.25     65.54259     65.69588      0.42639      1.96517      5.66063      2.21095    132.00000
       5040.20000   4370.44005      -999.25     55.69459     52.79882      0.41427      2.19351      4.93940      2.21420    132.00000
       5040.30000   4370.50992      -999.25     48.43644     19.89186      0.34682      1.02565      3.80217      2.21513    132.00000
       5040.40000   4370.57979      -999.25     43.57077     21.84017      0.64299      2.42437      3.87104      2.21808    132.00000
       5040.50000   4370.64965      -999.25     40.05878     32.52350      0.96906      3.91213      4.22646      2.22151    132.00000
       5040.60000   4370.71952      -999.25     38.44404     32.78748      0.97432      2.71292      4.16692      2.22422    132.00000
       5040.70000   4370.78938      -999.25     38.45355     50.93044      0.72728      2.16444      7.33698      2.22696    131.31100
       5040.80000   4370.85925      -999.25     39.08169     76.40175      0.44619      1.84764     10.17612      2.23003    130.67320
       5040.90000   4370.92911      -999.25     39.34701    100.30900      0.51191      1.30976      4.98583      2.23458    131.65750
       5041.00000   4370.99898      -999.25     44.09798     88.40872      0.51313      0.96444      2.45076      2.24033    132.00000
       5041.10000   4371.06884      -999.25     52.07861     58.99546      0.48694      0.82356      1.58196      2.24632    132.00000
       5041.20000   4371.13870      -999.25     65.75088     40.47511      0.50868      1.37536      2.40981      2.24949    132.00000
       5041.30000   4371.20857      -999.25     76.94304     37.78457      0.49016      1.93960      4.36810      2.25325    132.00000
       5041.40000   4371.27843      -999.25     85.93054     47.91443      0.44242      2.37402      6.72392      2.25771    131.92130
       5041.50000   4371.34829      -999.25     88.26395     86.12641      0.36206      1.22170      5.12805      2.26591    130.93700
       5041.60000   4371.41816      -999.25     90.27360    115.96690      0.39379      1.05171      3.56472      2.27409    130.77360
       5041.70000   4371.48802      -999.25     91.93578    137.88230      0.50897      1.63824      2.09736      2.28213    131.26580
       5041.80000   4371.55788      -999.25     90.90761    122.29160      0.44097      1.37906      2.74672      2.28674    131.75790
       5041.90000   4371.62774      -999.25     85.77853     89.20113      0.46382      1.38505      9.88394      2.29105    132.00000
       5042.00000   4371.69761      -999.25     76.67774     39.16195      0.57466      1.64788     23.30467      2.29508    132.00000
       5042.10000   4371.76747      -999.25     67.94601     60.82570      0.66503      1.64095     11.32891      2.29833    132.00000
       5042.20000   4371.83733      -999.25     59.43443     60.28857      0.58132      1.40928      4.44341      2.30217    132.00000
       5042.30000   4371.90719      -999.25     51.17423     32.32087      0.29363      0.91892      4.01821      2.30670    132.00000
       5042.40000   4371.97705      -999.25     52.50877     27.94943      0.36200      2.80964      4.16187      2.31255    132.00000
       5042.50000   4372.04691      -999.25     55.46608     40.40654      0.76585      3.45538      4.28689      2.31885    132.00000
       5042.60000   4372.11677      -999.25     59.80311     74.57843      1.61374      2.09194      4.32980      2.32567    132.00000
       5042.70000   4372.18663      -999.25     60.40739    116.64700      1.47371      1.95498      3.84844      2.33211    132.00000
       5042.80000   4372.25649      -999.25     61.18349    128.04120      1.16581      1.88718      3.66389      2.33650    132.00000
       5042.90000   4372.32635      -999.25     63.08237     84.09930      0.78231      1.66995      4.11345      2.33742    132.00000
       5043.00000   4372.39621      -999.25     63.32389     75.46755      0.46818      1.55939      6.20341      2.33837    132.00000
       5043.10000   4372.46607      -999.25     63.85486     69.39580      0.25496      1.52848      7.50153      2.33989    132.00000
       5043.20000   4372.53593      -999.25     65.69565     54.30704      0.23156      1.62601      6.40935      2.34260    132.00000
       5043.30000   4372.60578      -999.25     62.59793     65.13601      0.38198      1.36734      4.97561      2.34782    132.00000
       5043.40000   4372.67564      -999.25     57.24350     67.33598      0.46618      1.03096      3.79639      2.35420    132.00000
       5043.50000   4372.74550      -999.25     49.26769     27.37581      0.24481      0.73783      3.55736      2.36196    132.00000
       5043.60000   4372.81536      -999.25     42.12120     28.27938      0.15205      0.89353      6.47101      2.36734    132.00000
       5043.70000   4372.88522      -999.25     37.30354     37.74594      0.11230      1.10415     12.91993      2.37010    132.00000
       5043.80000   4372.95507      -999.25     39.73093     27.72087      0.10357      0.96199     28.05693      2.36647    132.00000
       5043.90000   4373.02493      -999.25     53.41317     16.71939      0.23845      0.71959     19.17128      2.16519    132.00000
       5044.00000   4373.09479      -999.25     71.13795      7.03414      1.20958      0.55169      3.39700      1.92777    132.00000
       5044.10000   4373.16464      -999.25     84.65836      5.73825      5.90434      0.95324      4.97229      1.93194    132.00000
       5044.20000   4373.23450      -999.25     94.46335      6.17609      9.53093      1.94258      4.35770      1.93399    132.00000
       5044.30000   4373.30435      -999.25    101.27730      9.55840     26.71281      4.78714      2.97787      1.92822    132.00000
       5044.40000   4373.37421      -999.25    101.21870     27.08875    143.75540     18.48224      4.59576      1.87536    132.00000
       5044.50000   4373.44407      -999.25    105.42800     59.57710    130.23400     19.26913      7.79666      1.85750    132.00000
       5044.60000   4373.51392      -999.25    112.43000     93.97183     35.94421     12.19123     11.75855      1.86301    132.00000
       5044.70000   4373.58378      -999.25    118.79420     30.30561     17.93618     14.11845     12.14153      1.86905    132.00000
       5044.80000   4373.65363      -999.25    124.88060      6.84244     11.90011     19.88159     23.73672      1.87288    132.00000
       5044.90000   4373.72348      -999.25    130.58280     18.91853     15.40044     28.47721     43.61550      1.87488    132.00000
       5045.00000   4373.79334      -999.25    130.77430    132.03760     12.65285     27.32699     35.16184      1.87594    132.00000
       5045.10000   4373.86319      -999.25    133.11150    173.50320     13.69332     27.49593     30.14000      1.87738    132.00000
       5045.20000   4373.93305      -999.25    137.56050    144.45300     18.46171     28.96309     28.49550      1.87919    132.00000
       5045.30000   4374.00290      -999.25    140.26070    103.27800     17.73172     28.10963     32.54152      1.88127    132.00000
       5045.40000   4374.07275      -999.25    142.43420     69.11838     15.35601     24.69917     31.93968      1.88425    132.00000
       5045.50000   4374.14260      -999.25    144.02170     43.62324     11.15084     18.29475     25.65449      1.88830    132.00000
       5045.60000   4374.21246      -999.25    144.25150    135.47710     21.89116     26.91449     34.83882      1.61528    132.00000
       5045.70000   4374.28231      -999.25    140.53410    196.28230     28.72905     34.74889     42.67232      1.43252    132.00000
       5045.80000   4374.35216      -999.25    131.23310    199.61360     28.32236     39.85327     46.90808      1.41007    132.00000
       5045.90000   4374.42201      -999.25    119.03470    200.00000     31.42285     37.54792     41.85711      1.39510    132.00000
       5046.00000   4374.49186      -999.25    112.88140    200.00000     33.35668     35.09723     37.30779      1.38268    132.00000
       5046.10000   4374.56171      -999.25    118.15100    200.00000     32.39826     34.11672     35.81670      1.37305    132.00000
       5046.20000   4374.63157      -999.25    133.26860    172.67160     33.03415     34.06349     34.34845      1.34142    132.00000
       5046.30000   4374.70142      -999.25    142.64160    138.31160     33.15648     33.59597     32.61401      1.31637    132.00000
       5046.40000   4374.77127      -999.25    135.08710    100.26810     31.45667     31.81377     30.28274      1.31538    132.00000
       5046.50000   4374.84112      -999.25    140.74140     99.66109     30.69261     30.94556     30.42064      1.30829    132.00000
       5046.60000   4374.91097      -999.25    151.76420    111.51790     29.77340     29.55826     30.02362      1.29746    132.00000
       5046.70000   4374.98082      -999.25    167.84650    130.04350     27.71980     26.03830     26.28336      1.28076    132.00000
       5046.80000   4375.05067      -999.25    195.58530    122.16530     26.25048     25.38050     25.34101      1.10445    132.00000
       5046.90000   4375.12051      -999.25    223.24140    105.68640     25.01591     25.53587     25.13206      0.92461    132.00000
       5047.00000   4375.19036      -999.25    235.73120     91.66214     23.88824     24.99274     24.01700      0.93554    132.00000
       5047.10000   4375.26021      -999.25    223.97910     91.72243     23.28423     23.85830     22.99049      0.94441    132.00000
       5047.20000   4375.33006      -999.25    203.10290     95.39448     22.18252     22.52658     22.02225      0.95123    132.00000
       5047.30000   4375.39991      -999.25    190.47630     85.90764     17.46179     21.52126     21.14742      0.95238    132.00000
       5047.40000   4375.46976      -999.25    196.38480     76.73421     16.62524     20.34432     20.49018      0.95279    132.00000
       5047.50000   4375.53960      -999.25    209.60010     68.20026     17.76439     19.10427     19.84919      0.95238    132.00000
       5047.60000   4375.60945      -999.25    201.25970     63.08527     17.64626     18.09713     18.44516      0.94899    132.00000
       5047.70000   4375.67930      -999.25    186.74750     66.36510     17.16101     17.24007     17.42336      0.94918    132.00000
       5047.80000   4375.74914      -999.25    168.90550     74.75253     16.38638     16.46058     16.63827      0.95128    132.00000
       5047.90000   4375.81899      -999.25    162.07010     75.62784     15.08937     15.36954     15.56457      0.94660    132.00000
       5048.00000   4375.88884      -999.25    150.52400     76.95046     13.83810     14.62229     15.01947      0.94398    132.00000
       5048.10000   4375.95868      -999.25    135.44940     78.40167     12.65023     14.16221     14.90544      0.94276    132.00000
       5048.20000   4376.02853      -999.25    134.89000     70.07870     12.50651     13.84911     14.59157      0.93002    132.00000
       5048.30000   4376.09837      -999.25    144.59600     66.82718     12.62899     14.02321     14.61939      0.92749    132.00000
       5048.40000   4376.16822      -999.25    164.56730     68.64712     13.01767     14.68453     14.98889      0.93517    132.00000
       5048.50000   4376.23806      -999.25    173.08450     72.92780     13.07607     14.67678     15.26958      0.95966    132.00000
       5048.60000   4376.30791      -999.25    173.97200     73.83783     13.20230     14.85277     15.55972      0.97464    132.00000
       5048.70000   4376.37775      -999.25    165.95090     70.58797     13.42058     15.27145     15.86397      0.97759    132.00000
       5048.80000   4376.44760      -999.25    172.28290     65.48652     14.29363     15.30165     16.00923      0.96832    132.00000
       5048.90000   4376.51744      -999.25    182.63070     60.58551     15.00650     15.57324     16.35617      0.96190    132.00000
       5049.00000   4376.58728      -999.25    197.26000     56.19216     15.40813     16.24541     17.01885      0.96106    132.00000
       5049.10000   4376.65713      -999.25    193.45410     62.09965     15.36100     16.60357     17.22448      0.95705    132.00000
       5049.20000   4376.72697      -999.25    181.91220     63.21638     15.61231     16.90366     17.46914      0.95419    132.00000
       5049.30000   4376.79681      -999.25    160.92350     53.12566     16.51421     17.17614     17.89716      0.95419    132.00000
       5049.40000   4376.86665      -999.25    151.56260     54.87740     18.05315     18.36328     18.85260      0.95252    132.00000
       5049.50000   4376.93648      -999.25    145.17340     56.41275     19.46059     19.32820     19.61904      0.95230    132.00000
       5049.60000   4377.00631      -999.25    140.18580     52.08935     20.28360     19.37887     19.72157      0.95610    132.00000
       5049.70000   4377.07614      -999.25    136.68530     52.80868     20.41666     19.46742     19.33651      0.95480    132.00000
       5049.80000   4377.14596      -999.25    133.05790     53.14669     20.18135     19.40848     18.86558      0.95351    132.00000
       5049.90000   4377.21577      -999.25    127.90340     48.44519     19.43866     18.90005     18.53263      0.95625    132.00000
       5050.00000   4377.28558      -999.25    122.48750     51.91200     18.98009     18.87341     18.24186      0.95496    132.00000
       5050.10000   4377.35539      -999.25    118.19940     57.87825     18.80077     19.05408     18.15436      0.95318    132.00000
       5050.20000   4377.42519      -999.25    118.45200     62.24437     19.28059     19.36294     18.76619      0.95501    132.00000
       5050.30000   4377.49499      -999.25    121.06360     69.42068     19.00031     19.15297     18.86148      0.95369    132.00000
       5050.40000   4377.56478      -999.25    123.65440     76.51987     18.45545     18.80769     18.74975      0.95169    132.00000
       5050.50000   4377.63457      -999.25    120.68510     76.72958     18.31903     18.97206     18.77680      0.95353    132.00000
       5050.60000   4377.70436      -999.25    124.42070     75.53111     18.45813     18.90419     18.83528      0.95461    132.00000
       5050.70000   4377.77414      -999.25    132.39890     75.02406     18.71729     18.78394     18.95152      0.95486    132.00000
       5050.80000   4377.84392      -999.25    143.96720     85.82265     18.71038     19.26000     19.37325      0.95208    132.00000
       5050.90000   4377.91369      -999.25    147.56950     88.46846     18.72822     20.06672     20.15504      0.95059    132.00000
       5051.00000   4377.98346      -999.25    145.99980     86.15047     18.85230     21.03985     21.12449      0.94991    132.00000
       5051.10000   4378.05322      -999.25    148.78790     92.80981     20.19876     21.17051     21.26475      0.94809    132.00000
       5051.20000   4378.12298      -999.25    144.17640     95.42885     20.90786     21.45642     21.54566      0.94626    132.00000
       5051.30000   4378.19274      -999.25    133.20540     94.66539     21.09868     21.87509     21.94829      0.94445    132.00000
       5051.40000   4378.26249      -999.25    114.54870     94.10921     22.07161     22.42274     22.53920      0.94385    132.00000
       5051.50000   4378.33224      -999.25    102.84040    100.80130     22.67445     22.87822     22.92068      0.94248    132.00000
       5051.60000   4378.40198      -999.25     98.19263    114.85860     22.90122     23.24004     23.08935      0.94036    132.00000
       5051.70000   4378.47172      -999.25     95.25669    118.79250     23.49661     24.13707     23.69644      0.93764    132.00000
       5051.80000   4378.54145      -999.25     93.18029    117.60520     24.12759     24.97364     24.33726      0.93573    132.22050
       5051.90000   4378.61118      -999.25     92.10218    110.46720     24.78936     25.71671     25.00408      0.93481    132.71260
       5052.00000   4378.68090      -999.25     87.63768    129.12960     25.39307     25.73825     25.62727      0.93903    133.20470
       5052.10000   4378.75063      -999.25     85.26602    136.65840     26.06825     26.05078     26.24210      0.94433    133.10630
       5052.20000   4378.82034      -999.25     86.45144    124.30360     26.85779     26.88879     26.84977      0.95064    132.12210
       5052.30000   4378.89005      -999.25     89.04643    121.17930     27.23438     26.83126     27.18077      0.95224    132.00000
       5052.40000   4378.95976      -999.25     93.16302    120.46490     27.47943     26.67329     27.16543      0.95218    132.00000
       5052.50000   4379.02947      -999.25     99.71343    121.78150     27.58998     26.56377     26.58461      0.95031    132.00000
       5052.60000   4379.09916      -999.25    105.86640    114.61500     26.85895     26.56215     26.10814      0.95009    132.00000
       5052.70000   4379.16886      -999.25    110.71510    111.02830     25.79225     26.08608     25.49476      1.04726    132.00000
       5052.80000   4379.23855      -999.25    112.76650    119.67220     24.35731     24.47248     24.51830      1.36657    132.00000
       5052.90000   4379.30824      -999.25    117.07800    120.40330     23.33100     23.98792     23.89451      1.44144    132.00000
       5053.00000   4379.37792      -999.25    120.64840    115.91820     22.29702     23.67637     23.33183      1.44475    132.00000
       5053.10000   4379.44760      -999.25    120.21270    102.75930     20.90578     22.94213     22.65771      1.44049    132.00000
       5053.20000   4379.51727      -999.25    114.88380    105.83110     19.29151     21.62671     21.24245      1.51859    132.00000
       5053.30000   4379.58694      -999.25    108.73540    110.41780     17.79294     20.19644     19.71558      1.60299    132.00000
       5053.40000   4379.65660      -999.25    106.28770     98.14639     17.04585     19.13902     18.79694      1.59654    132.00000
       5053.50000   4379.72626      -999.25    101.24080     90.00329     15.71514     18.44993     18.62451      1.59201    132.00000
       5053.60000   4379.79592      -999.25     95.58462     87.17140     14.41189     17.99821     18.79706      1.58880    132.00000
       5053.70000   4379.86557      -999.25     93.03438    102.21030     14.66829     17.89926     18.97085      1.58786    132.00000
       5053.80000   4379.93522      -999.25     96.98557    109.86460     15.58552     18.05663     19.16206      1.58638    132.00000
       5053.90000   4380.00486      -999.25    105.51330    111.54320     16.85922     18.42319     19.41292      1.58489    132.05510
       5054.00000   4380.07450      -999.25    120.82430     99.35188     17.96049     19.28526     20.05776      1.58578    132.54730
       5054.10000   4380.14413      -999.25    123.30920     97.42220     18.21906     19.64604     20.40268      1.58722    133.03940
       5054.20000   4380.21376      -999.25    117.24090    101.63980     17.92912     19.64367     20.51591      1.58912    133.43700
       5054.30000   4380.28339      -999.25    117.52120     90.60615     18.25305     19.46751     20.31410      1.59183    132.45280
       5054.40000   4380.35301      -999.25    117.13130     87.56849     18.59291     19.43249     20.22512      1.59406    132.00000
       5054.50000   4380.42263      -999.25    115.96870     91.41271     18.95770     19.52597     20.22503      1.59589    132.00000
       5054.60000   4380.49224      -999.25    102.39420     99.59151     20.01973     20.12807     19.77997      1.59898    132.00000
       5054.70000   4380.56185      -999.25     99.66132     97.00306     21.07468     20.42748     19.56577      1.60038    132.00000
       5054.80000   4380.63146      -999.25    108.12270     83.29721     22.12234     20.41435     19.58993      1.60005    132.00000
       5054.90000   4380.70105      -999.25    126.29500     92.95007     21.05787     20.33594     19.62717      1.59828    132.95280
       5055.00000   4380.77065      -999.25    134.90880     99.99335     20.17574     20.15702     19.70926      1.59594    133.06300
       5055.10000   4380.84024      -999.25    131.15090    102.80180     19.60940     19.85494     19.84696      1.59296    132.07880
       5055.20000   4380.90983      -999.25    120.97760    121.90780     18.31186     19.41217     18.71313      1.58906    132.90550
       5055.30000   4380.97941      -999.25    110.74920    128.86560     16.88693     18.84496     17.78686      1.58616    133.50000
       5055.40000   4381.04899      -999.25    101.28770    115.13280     15.36467     18.10659     17.34582      1.58491    133.50000
       5055.50000   4381.11856      -999.25     94.76675    131.78780     14.14612     17.70156     17.29000      1.58555    133.07090
       5055.60000   4381.18813      -999.25     88.14661    150.60790     12.95912     16.97998     16.87763      1.58578    132.57880
       5055.70000   4381.25770      -999.25     80.53197    165.12750     11.74770     15.57366     15.69130      1.58471    132.08660
       5055.80000   4381.32726      -999.25     79.09775    185.15620     10.69028     14.68722     14.79992      1.58564    132.00000
       5055.90000   4381.39682      -999.25     78.55784    200.00000      9.80823     13.88099     14.29194      1.58870    132.00000
       5056.00000   4381.46637      -999.25     77.02443    200.00000      9.25865     13.00279     14.53154      1.59575    132.00000
       5056.10000   4381.53592      -999.25     75.58008    200.00000      9.72203     13.44710     15.60467      1.58740    132.00000
       5056.20000   4381.60546      -999.25     75.68094    199.36220     10.64180     14.53976     17.23547      1.57584    132.00000
       5056.30000   4381.67500      -999.25     80.29208    196.83150     12.04837     16.42368     19.80739      1.56798    132.00000
       5056.40000   4381.74453      -999.25     84.90322    197.13060     15.25249     19.76916     23.46058      1.56496    132.00000
       5056.50000   4381.81407      -999.25     90.64989    197.33590     19.04400     23.24361     26.89201      1.56510    132.00000
       5056.60000   4381.88359      -999.25    100.82740    193.05000     22.50683     25.09051     27.88182      1.57053    132.00000
       5056.70000   4381.95311      -999.25    114.54210    195.39150     23.81127     25.79439     27.75842      1.57289    132.00000
       5056.80000   4382.02263      -999.25    128.07680    200.00000     23.98878     25.96381     27.03343      1.57400    132.00000
       5056.90000   4382.09215      -999.25    131.63240    200.00000     23.56455     26.15173     25.88800      1.57617    132.00000
       5057.00000   4382.16165      -999.25    123.06890    197.48150     24.01809     26.54017     25.67533      1.57737    132.00000
       5057.10000   4382.23116      -999.25    109.10360    194.34710     24.83008     27.08424     26.05695      1.57870    132.00000
       5057.20000   4382.30066      -999.25    108.80690    198.23850     24.38124     27.94932     26.86111      1.58591    132.00000
       5057.30000   4382.37016      -999.25    106.79960    198.92950     24.75362     29.04626     27.57765      1.59052    132.00000
       5057.40000   4382.43965      -999.25    103.44820    197.53710     25.57936     30.18458     28.18631      1.59329    132.00000
       5057.50000   4382.50913      -999.25     98.13153    199.21940     24.34295     29.38358     28.08288      1.59630    132.00000
       5057.60000   4382.57862      -999.25     96.68913    200.00000     23.31469     28.55482     27.97508      1.59601    132.00000
       5057.70000   4382.64810      -999.25     98.61266    200.00000     22.45997     27.70441     27.86308      1.59268    132.00000
       5057.80000   4382.71757      -999.25    101.53310    200.00000     21.05919     27.05101     27.71749      1.57367    132.00000
       5057.90000   4382.78704      -999.25    104.06830    200.00000     20.33648     26.47773     27.44477      1.56260    132.48030
       5058.00000   4382.85651      -999.25    106.19920    200.00000     20.32519     25.98850     27.03867      1.55987    133.46460
       5058.10000   4382.92597      -999.25    109.69760    200.00000     19.87364     25.21879     26.95168      1.55994    132.55120
       5058.20000   4382.99543      -999.25    110.72780    200.00000     20.17370     24.96759     27.05647      1.56037    132.21660
       5058.30000   4383.06488      -999.25    108.55170    200.00000     21.45125     25.38966     27.39016      1.56111    132.70870
       5058.40000   4383.13433      -999.25    114.69090    200.00000     21.74391     26.07965     27.66075      1.56451    133.20080
       5058.50000   4383.20377      -999.25    119.48050    200.00000     22.34893     26.75266     28.12007      1.56672    133.11420
       5058.60000   4383.27321      -999.25    120.99420    200.00000     23.57850     27.36122     28.88108      1.56670    132.12990
       5058.70000   4383.34265      -999.25    121.37390    200.00000     23.60582     27.80418     29.08039      1.56686    132.85430
       5058.80000   4383.41208      -999.25    120.68040    200.00000     23.79707     28.18698     29.37032      1.56500    133.33070
       5058.90000   4383.48150      -999.25    118.26900    200.00000     24.64958     28.50306     29.99599      1.55921    132.83860
       5059.00000   4383.55093      -999.25    120.13130    200.00000     26.11615     29.18798     30.02310      1.56054    132.34650
       5059.10000   4383.62034      -999.25    125.45350    200.00000     27.41058     29.76817     30.04335      1.56148    132.00000
       5059.20000   4383.68976      -999.25    136.77350    200.00000     27.97501     29.90667     30.35979      1.55781    132.00000
       5059.30000   4383.75917      -999.25    146.27960    200.00000     28.87765     31.08398     31.93159      1.55839    132.00000
       5059.40000   4383.82857      -999.25    154.63200    200.00000     30.16328     32.90075     33.85550      1.55930    132.00000
       5059.50000   4383.89797      -999.25    161.11040    200.00000     32.30738     35.72621     35.72287      1.55743    132.00000
       5059.60000   4383.96737      -999.25    153.44890    200.00000     34.03289     36.92822     36.55257      1.56355    132.00000
       5059.70000   4384.03676      -999.25    141.70720    200.00000     35.36372     37.46848     36.98212      1.57089    132.09840
       5059.80000   4384.10615      -999.25    135.20650    200.00000     35.75416     37.83727     37.39338      1.57087    132.59060
       5059.90000   4384.17553      -999.25    127.50360    200.00000     36.19489     38.19282     37.94995      1.57039    133.08270
       5060.00000   4384.24491      -999.25    119.46220    200.00000     36.54807     38.57307     38.47363      1.56945    133.50000
       5060.10000   4384.31429      -999.25    112.74740    200.00000     36.27843     39.12651     38.42516      1.56710    133.50000
       5060.20000   4384.38366      -999.25    114.17400    200.00000     36.81303     40.05413     38.47890      1.56587    132.88190
       5060.30000   4384.45302      -999.25    119.48820    200.00000     37.40627     40.64917     39.23474      1.56536    132.00000
       5060.40000   4384.52239      -999.25    116.74500    200.00000     34.40022     36.46933     45.51800      1.56535    132.00000
       5060.50000   4384.59174      -999.25    114.07600    200.00000     36.01697     37.59231     46.02701      1.56640    132.00000
       5060.60000   4384.66110      -999.25    111.42850    200.00000     40.80029     42.41189     42.70114      1.56828    132.00000
       5060.70000   4384.73045      -999.25    108.23670    200.00000     42.53264     44.81487     45.21594      1.57161    132.00000
       5060.80000   4384.79979      -999.25    106.25460    200.00000     46.66797     47.80318     48.03447      1.57382    132.00000
       5060.90000   4384.86913      -999.25    105.34580    200.00000     52.88859     51.28353     51.09536      1.57501    132.00790
       5061.00000   4384.93847      -999.25    105.58340    200.00000     55.56137     51.93083     51.07777      1.57229    132.99210
       5061.10000   4385.00780      -999.25    103.22550    200.00000     59.10751     53.34836     52.52185      1.56957    133.26180
       5061.20000   4385.07712      -999.25     98.10045    200.00000     63.58477     55.58705     55.52424      1.56684    132.76970
       5061.30000   4385.14645      -999.25    103.37140    200.00000     63.23094     57.06927     55.99379      1.56200    132.27760
       5061.40000   4385.21577      -999.25    109.59620    200.00000     63.97709     58.14671     56.11790      1.55739    132.42910
       5061.50000   4385.28508      -999.25    116.49470    200.00000     66.40654     58.74131     55.93170      1.55318    133.41340
       5061.60000   4385.35439      -999.25    121.66990    200.00000     64.18273     58.70745     56.86685      1.55363    133.50000
       5061.70000   4385.42370      -999.25    122.85830    200.00000     61.34925     58.16324     57.03389      1.55454    133.50000
       5061.80000   4385.49300      -999.25    118.02070    200.00000     58.26234     56.90967     55.81871      1.55545    133.50000
       5061.90000   4385.56229      -999.25    106.72900    200.00000     59.20330     57.48056     54.85161      1.55599    133.07480
       5062.00000   4385.63159      -999.25     96.52882    200.00000     59.01180     57.17078     54.53010      1.44755    132.58270
       5062.10000   4385.70087      -999.25     90.41957    200.00000     55.39124     54.59394     55.38602      1.12767    132.09060
